"Lat","Long","Month","Day","Year","Chlorophyll a, total","Divinyl chlorophyll a","Chlorophyll b","Divinyl chlorophyll b","19-Hexanoyloxyfucoxanthin","19-Butanoyloxyfucoxanthin","Fucoxanthin","Peridinin","Alloxanthin","Zeaxanthin"
"13.291","-100.167","8","28","2000","0.41895","0.2264066182","0.02436455385","NaN","0.04317057343","0.01077987133","0.02181718601","0.007441376224","0","0.1763659524"
"13.033","-99.683","8","28","2000","0.52971","0.3102821469","0.03320210212","NaN","0.08231913325","0.02063257285","0.01681455542","0.00782098132","0","0.1835165529"
"12.934","-99.467","8","28","2000","0.31603","0.2026386968","0.01839268645","NaN","0.03765788903","0.007841589677","0.0110261729","0.004155607742","0","0.1100809239"
"12.417","-98.486","8","28","2000","0.38675","0.2405433327","0.0192108","NaN","0.04128710182","0.008180498182","0.01235308364","0.006115069091","0","0.09755833091"
"12.133","-97.917","8","28","2000","0.28896","0.06611414182","0.03851539636","NaN","0.10691124","0.009693109091","0.01217536364","0.01384692","0","0.06012648"
"11.963","-97.576","8","28","2000","0.27408","0","0.0621196812","NaN","0.1861054296","0.02111210959","0.04336556413","0.01809812204","0","0.1057726326"
"11.714","-97.105","8","28","2000","0.38853","0.04707326526","0.02127662765","NaN","0.2113071183","0.01850343213","0.03074444832","0.008272184309","0","0.09875488917"
"11.455","-96.618","8","28","2000","0.40633","0.1674099754","0.02305410462","NaN","0.12866112","0.01299899077","0.01666919385","0.007260861538","0","0.1442077662"
"11.216","-96.147","8","29","2000","0.88185","0.6314921302","0.04880039442","NaN","0.111630653","0.01248453209","0.01395786419","0.007504833488","0","0.3134463181"
"11.091","-95.899","8","29","2000","0.89526","0.7229244563","0.0556874","NaN","0.0908614625","0.0121266","0.013398075","0.0065129875","0","0.287398375"
"10.405","-94.558","8","29","2000","0.41295","0.08760930228","0.02318234734","NaN","0.1034743291","0.01096948253","0.1032189691","0.03260851443","0","0.1538056344"
"10.067","-93.933","8","29","2000","0.42307","0.08523389023","0.04417837395","NaN","0.1243602084","0.01953559814","0.03463168744","0.02089855256","0","0.1735240409"
"9.998","-93.561","8","29","2000","0.36797","0.01564355721","0.0524062214","NaN","0.1269485916","0.02227271442","0.0419374214","0.01192386977","0","0.1243241302"
